name,price,url
3ED: Volcanic Island,495.00,https://www.cardkingdom.com/mtg/3rd-edition/volcanic-island
3ED: Underground Sea,495.00,https://www.cardkingdom.com/mtg/3rd-edition/underground-sea
LTR: Orcish Bowmasters,36.00,https://www.cardkingdom.com/mtg/the-lord-of-the-rings-tales-of-middle-earth/orcish-bowmasters
USG: Gaea's Cradle,540.00,https://www.cardkingdom.com/mtg/urzas-saga/gaeas-cradle
ATQ: Mishra's Workshop,"1,740.00",https://www.cardkingdom.com/mtg/antiquities/mishras-workshop
STH: Mox Diamond,390.00,https://www.cardkingdom.com/mtg/stronghold/mox-diamond
3ED: Tropical Island,310.00,https://www.cardkingdom.com/mtg/3rd-edition/tropical-island
Promo: The One Ring (Bundle Foil),20.00,https://www.cardkingdom.com/mtg/promotional/the-one-ring-bundle-foil
LEB: Mox Jet,"6,000.00",https://www.cardkingdom.com/mtg/beta/mox-jet
3ED: Tundra,310.00,https://www.cardkingdom.com/mtg/3rd-edition/tundra
LTRVAR: Orcish Bowmasters (Borderless),45.00,https://www.cardkingdom.com/mtg/the-lord-of-the-rings-tales-of-middle-earth-variants/orcish-bowmasters-borderless
3ED: Scrubland,210.00,https://www.cardkingdom.com/mtg/3rd-edition/scrubland
3ED: Bayou,240.00,https://www.cardkingdom.com/mtg/3rd-edition/bayou
2ED: Time Walk,"2,750.00",https://www.cardkingdom.com/mtg/unlimited/time-walk
3ED: Badlands,230.00,https://www.cardkingdom.com/mtg/3rd-edition/badlands
ATQ: Candelabra of Tawnos,780.00,https://www.cardkingdom.com/mtg/antiquities/candelabra-of-tawnos
MIR: Lion's Eye Diamond,360.00,https://www.cardkingdom.com/mtg/mirage/lions-eye-diamond
MB1: Mana Crypt,130.00,https://www.cardkingdom.com/mtg/mystery-booster-the-list/mana-crypt
LTR: The One Ring,42.00,https://www.cardkingdom.com/mtg/the-lord-of-the-rings-tales-of-middle-earth/the-one-ring
2ED: Mox Sapphire,"3,400.00",https://www.cardkingdom.com/mtg/unlimited/mox-sapphire
ULG: Grim Monolith,180.00,https://www.cardkingdom.com/mtg/urzas-legacy/grim-monolith
WOE: Beseech the Mirror,30.00,https://www.cardkingdom.com/mtg/wilds-of-eldraine/beseech-the-mirror
LEA: Chaos Orb,"8,400.00",https://www.cardkingdom.com/mtg/alpha/chaos-orb
Promo: Wheel of Fortune (Judge Foil),"1,235.00",https://www.cardkingdom.com/mtg/promotional/wheel-of-fortune-judge-foil
WOE: Agatha's Soul Cauldron,14.00,https://www.cardkingdom.com/mtg/wilds-of-eldraine/agathas-soul-cauldron
MH1: Snow-Covered Forest,0.52,https://www.cardkingdom.com/mtg/modern-horizons/snow-covered-forest
ZNR: Bala Ged Recovery,1.50,https://www.cardkingdom.com/mtg/zendikar-rising/bala-ged-recovery
2X2VAR: Cavern of Souls (Borderless),33.00,https://www.cardkingdom.com/mtg/double-masters-2022-variants/cavern-of-souls-borderless
ZNE: Wooded Foothills,31.00,https://www.cardkingdom.com/mtg/zendikar-rising-expeditions/wooded-foothills
