name,set,stock,hareruyamtg_price,cardkingdom_price,tcgplayer_buy_list_market_price
Abstruse Archaic,CMM,14,700,0.45,1.11
All Is Dust,ROE,1,"1,000",4.00,
All Is Dust,CMM,32,800,,1.28
Artisan of Kozilek,NCC,3,80,,0.15
Artisan of Kozilek,CMM,8,80,0.06,
Bane of Bala Ged,CMM,3,30,0.05,
Breaker of Armies,BFZ,4,100,,0.06
Conduit of Ruin,BFZ,35,300,5.00,2.37
Deceiver of Form,OGW,12,50,0.30,0.16
Desecrate Reality,CMM,14,"1,000",,1.12
Eldrazi Conscription,UMA,2,700,7.50,
Eldrazi Mimic,OGW,69,200,0.45,0.51
"Emrakul, the Aeons Torn",2X2,6,"3,500",10.00,
Flayer of Loyalties,CMM,13,"1,200",3.20,2.83
Gruesome Slaughter,BFZ,5,50,,0.11
Introduction to Annihilation,STX,48,20,,0.03
It That Betrays,CMM,7,600,3.50,3.57
Karn Liberated,MM2,1,"2,200",7.50,
Karn Liberated,NPH,4,"2,200",10.25,
Karn Liberated,UMA,4,"2,200",7.25,
Karn Liberated,2XM,25,"1,780",7.00,
Flowering of the White Tree,LTR,180,150,2.00,2.48
Flumph,AFR,48,100,0.45,0.48
Forge Anew,LTR,54,200,0.60,0.92
"Frodo, Determined Hero",LTR,2,"1,200",1.15,
Fumigate,LTC,3,100,0.36,0.01
Field Marshal,CSP,6,300,2.00,
Finale of Glory,ONC,6,50,0.45,
Firemane Commando,MOC,26,100,0.50,0.5
Flawless Maneuver,C20,7,800,4.70,
Flawless Maneuver,ONC,16,980,4.70,6.15
Flawless Maneuver,CMM,26,500,5.20,3.08
Faith's Reward,M13,9,150,1.05,
Faith's Reward,CN2,31,150,0.40,
False Defeat,PTK,1,300,9.00,
Fanatical Devotion,NEM,9,200,0.18,
Farewell,NEO,53,600,7.00,6.57
Fateful Absence,MID,21,280,0.45,0.36
Felidar Retreat,CMM,11,100,0.30,
Felidar Sovereign,BFZ,22,80,0.40,0.95
Essence Sliver,LGN,1,300,5.00,
Essence Sliver,TSB,6,300,4.80,
Ethereal Armor,RTR,40,250,0.18,0.09
Ethersworn Canonist,ALA,8,900,5.00,
Ethersworn Canonist,2XM,7,900,3.80,
Excise the Imperfect,MOC,7,300,1.25,
Exquisite Archangel,AER,12,80,0.50,
Emeria Shepherd,BFZ,24,50,0.33,0.65
Emeria's Call,ZNR,55,"1,200",4.70,
Emiel the Blessed,2X2,5,300,1.30,
Emiel the Blessed,J22,1,300,1.35,
Endless Horizons,EVE,1,200,2.50,
Enduring Angel,MID,36,100,0.60,
Entreat the Angels,C18,10,200,0.80,
Ephemerate,MH1,57,200,0.75,0.96
Ephemerate,STA,13,300,1.35,
Esper Sentinel,MH2,20,"2,200",18.50,17.62
Eldrazi Displacer,OGW,15,250,0.50,1.96
Elesh Norn,MOM,17,"1,000",4.30,7.61
"Elesh Norn, Grand Cenobite",IMA,8,"1,400",8.75,
"Elesh Norn, Grand Cenobite",MM2,4,"1,400",10.00,
"Elesh Norn, Grand Cenobite",NPH,4,"1,400",8.50,
"Elesh Norn, Grand Cenobite",MUL,32,600,8.50,
"Elesh Norn, Mother of Machines",ONE,27,"3,800",12.50,
Elspeth Conquers Death,THB,68,200,0.30,0.17
Elspeth Resplendent,SNC,7,500,3.20,2.64
Elspeth Tirel,ONC,3,300,0.25,
"Elspeth, Knight-Errant",ALA,4,"1,200",5.50,
"Elspeth, Sun's Champion",CMM,10,400,1.00,
Dusk Legion Duelist,MOM,45,200,0.24,0.17
Eagles of the North,LTR,48,30,,0.01
Eerie Interlude,SOI,37,100,1.00,
Eidolon of Rhetoric,JOU,5,100,0.33,
Divine Visitation,GRN,30,300,3.40,5.75
Divine Visitation,2X2,3,300,3.80,
Doomskar,KHM,40,300,0.52,0.21
Drannith Magistrate,IKO,25,"1,500",9.50,10.09
Devout Invocation,M14,8,50,1.05,
Dispatch,MM2,1,400,1.25,
Dispatch,NPH,8,400,0.95,
Dispatch,C21,1,400,1.15,
Dispatch,NEC,6,400,0.85,
Defiler of Faith,DMU,55,50,,0.2
Delaying Shield,ODY,14,50,2.05,
Deploy the Gatewatch,CMM,13,80,,0.07
Destroy Evil,DMU,34,150,0.25,0.05
Devoted Caretaker,ODY,5,200,1.25,
Dawnbringer Cleric,AFR,24,80,,0.01
Day of Judgment,STA,13,100,0.80,
Daybreak Coronet,UMA,8,500,4.00,
Deafening Silence,ELD,21,180,0.33,0.49
Debt of Loyalty,WTH,0,400,5.50,
"Danitha Capashen, Paragon",CMM,19,30,0.07,
"Darien, King of Kjeldor",A25,5,100,3.70,
Darksteel Mutation,CMM,56,100,0.45,0.09
Darksteel Splicer,MOC,6,100,,0.09
Dawn Charm,PLC,12,50,0.20,0.14
Dawn of a New Age,LTR,78,300,1.20,2.85
Court of Ardenvale,WOC,19,"1,000",0.25,
Court of Grace,CMR,9,100,,0.39
Court of Grace,ONC,4,200,0.33,0.18
Court Street Denizen,CMR,1,20,,0.01
Crackdown,MMQ,2,300,3.80,
Crested Sunmare,HOU,20,150,3.50,
Curse of Exhaustion,DKA,20,100,,0.01
Conjurer's Mantle,MOC,3,400,0.52,
Coppercoat Vanguard,MAT,1,150,0.30,0.17
Council's Judgment,CNS,27,150,1.30,
Council's Judgment,2XM,7,150,1.00,
Cleansing Meditation,TOR,1,200,0.50,
Cleansing Nova,CMM,51,150,0.09,0.04
Cleric Class,AFR,24,30,0.72,0.38
Cloudshift,AVR,13,180,0.06,0.07
Comeuppance,C14,7,300,8.50,
Squirrel Token,MH2,22,30,,0.01
Soldier Token,DMU,35,30,,0.01
Rabbit Token,CLB,36,100,0.72,
Sand Warrior Token,DMC,45,30,0.17,
Mechtitan Token,NEO,1,150,1.80,
Shark Token,IKO,175,280,0.50,
Shrine Token,NEC,35,200,2.75,
Golem Token,MH2,24,50,0.40,
Copy Token,CMR,10,20,0.10,0.01
Citizen Token,SNC,39,30,,0.01
Badger Token,DMC,74,20,1.00,
Snow-Covered Forest,CSP,58,200,0.60,
Snow-Covered Forest,MH1,98,200,0.52,
Forest,M20,38,20,,0.32
Forest,THB,87,50,,0.38
